1,41.424625
2,167.712125
3,299.851875
4,417.319125
5,474.060125
6,570.59025
7,607.261
8,664.943
9,698.55525
10,1052.41275
11,1190.07025
12,1330.41275
1,174.9225
2,401.1175
3,476.149375
4,563.81875
5,748.5825
6,834.6255
7,893.156625
8,962.211375
9,1046.262
10,1093.53175
11,1169.29175
12,1297.97425
1,60.4335
2,320.5585
3,359.145625
4,394.49975
5,545.9485
6,673.7335
7,732.718375
8,879.247875
9,1084.671625
10,1181.324875
11,1428.024875
12,1501.404375
1,107.5445
2,502.697
3,602.692875
4,721.314
5,996.954
6,1062.784625
7,1178.603625
8,1221.2395
9,1285.725375
10,1388.896875
11,1532.369375
12,1563.579125
1,252.4775
2,553.11875
3,701.22875
4,801.25475
5,933.792375
6,1060.310625
7,1169.397875
8,1196.496
9,1372.02975
10,1478.113375
11,1591.059375
12,1633.169875
1,56.897
2,188.457
3,407.6545
4,528.385875
5,701.482125
6,795.27625
7,938.1775
8,1034.9495
9,1145.886125
10,1290.899875
11,1309.342975
12,1342.4656
1,223.26125
2,325.87475
3,630.7585
4,959.191
5,1209.5435
6,1340.887125
7,1373.2905
8,1450.010125
9,1571.388875
10,1700.143875
11,2029.360125
12,2062.17775
1,119.066375
2,176.021625
3,497.474125
4,697.669125
5,794.015875
6,839.189125
7,998.210375
8,1089.280875
9,1241.308375
10,1281.908875
11,1387.53975
12,1484.498125
1,355.08125
2,406.6065
3,479.662125
4,517.928625
5,531.2033875
6,591.4590125
7,632.8003875
8,702.7665125
9,889.0302625
10,963.2276375
11,1076.071013
12,1134.870263
1,72.573125
2,95.872875
3,238.57875
4,392.5075
5,408.5083875
6,432.3967625
7,466.6021375
8,598.6458875
9,636.3747625
10,763.8305125
11,883.3207625
12,991.7316375
