Fecha,Q
02/01/1984,0.358
03/01/1984,0.629
04/01/1984,0.629
05/01/1984,0.551
06/01/1984,0.48
07/01/1984,0.629
08/01/1984,0.81
09/01/1984,0.86
10/01/1984,8.875
11/01/1984,12.813
12/01/1984,11.969
13/01/1984,7.566
14/01/1984,6.403
15/01/1984,10.033
16/01/1984,8.875
17/01/1984,10.339
18/01/1984,13.908
19/01/1984,21.078
20/01/1984,39.258
21/01/1984,56.957
22/01/1984,75.542
23/01/1984,92.069
24/01/1984,110.037
25/01/1984,121.986
26/01/1984,129.418
27/01/1984,126.919
28/01/1984,119.552
29/01/1984,100.875
30/01/1984,73.579
31/01/1984,45.355
01/02/1984,25.76
02/02/1984,25.76
03/02/1984,16.818
04/02/1984,8.875
05/02/1984,8.875
06/02/1984,11.969
07/02/1984,13.908
08/02/1984,15.042
09/02/1984,15.429
10/02/1984,15.625
11/02/1984,17.843
12/02/1984,18.682
13/02/1984,22.209
14/02/1984,26.995
15/02/1984,43.794
16/02/1984,45.67
17/02/1984,55.572
18/02/1984,53.523
19/02/1984,50.183
20/02/1984,43.794
21/02/1984,39.258
22/02/1984,83.624
23/02/1984,79.537
24/02/1984,60.487
25/02/1984,51.508
26/02/1984,67.828
27/02/1984,81.161
28/02/1984,77.928
29/02/1984,81.569
01/03/1984,124.441
02/03/1984,163.818
03/03/1984,181.102
04/03/1984,193.847
05/03/1984,201.373
06/03/1984,204.241
07/03/1984,199.475
08/03/1984,190.151
09/03/1984,182.89
10/03/1984,174.06
11/03/1984,163.818
12/03/1984,152.352
13/03/1984,135.504
14/03/1984,116.661
15/03/1984,92.069
16/03/1984,68.583
17/03/1984,48.55
18/03/1984,34.944
19/03/1984,26.995
20/03/1984,22.209
21/03/1984,18.682
22/03/1984,15.821
23/03/1984,13.908
24/03/1984,11.969
25/03/1984,10.339
26/03/1984,9.441
27/03/1984,7.816
28/03/1984,6.403
29/03/1984,6.403
30/03/1984,6.852
31/03/1984,6.403
01/04/1984,6.403
02/04/1984,11.969
03/04/1984,13.908
04/04/1984,15.042
05/04/1984,14.66
06/04/1984,14.66
07/04/1984,15.821
08/04/1984,17.843
09/04/1984,22.209
10/04/1984,26.995
11/04/1984,33.282
12/04/1984,37.795
13/04/1984,33.832
14/04/1984,26.995
15/04/1984,19.973
16/04/1984,15.821
17/04/1984,13.908
18/04/1984,15.821
19/04/1984,17.843
20/04/1984,24.55
21/04/1984,43.794
22/04/1984,73.579
23/04/1984,99.085
24/04/1984,134.481
25/04/1984,190.151
26/04/1984,9.441
27/04/1984,7.816
28/04/1984,6.403
29/04/1984,6.403
30/04/1984,388.62
01/05/1984,388.62
02/05/1984,333.965
03/05/1984,302.377
04/05/1984,284.35
05/05/1984,272.712
06/05/1984,250.333
07/05/1984,224.009
08/05/1984,139.874
09/05/1984,181.102
16/05/1984,117.141
17/05/1984,121.986
18/05/1984,119.552
01/06/1984,734.364
02/06/1984,585.806
03/06/1984,482.079
04/06/1984,431.752
05/06/1984,414.963
06/06/1984,398.846
07/06/1984,391.951
08/06/1984,409.016
09/06/1984,422.816
10/06/1984,412.516
11/06/1984,398.634
12/06/1984,385.307
13/06/1984,370.069
14/06/1984,360.654
15/06/1984,351.466
16/06/1984,338.181
17/06/1984,327.766
18/06/1984,317.054
19/06/1984,304.764
20/06/1984,292.307
21/06/1984,297.674
22/06/1984,319.811
23/06/1984,318.633
24/06/1984,327.674
25/06/1984,329.331
26/06/1984,315.708
27/06/1984,296.511
28/06/1984,279.696
29/06/1984,267.956
30/06/1984,267.338
01/07/1984,273.604
02/07/1984,292.631
03/07/1984,344.892
04/07/1984,386.79
05/07/1984,397.505
06/07/1984,408.098
07/07/1984,389.09
08/07/1984,391.548
09/07/1984,447.158
10/07/1984,473.732
11/07/1984,470.416
12/07/1984,438.358
13/07/1984,399.17
14/07/1984,367.889
15/07/1984,341.055
